accountantId,cancelDate,ignoreField,signDate,signedOrganizationsCount
7CCC576A,,,2019-01-21T00:00:00,60.0
7CE28CAD,,,2019-04-16T00:00:00,200.0
7D33D57A,,,2019-06-18T00:00:00,50.0
7D49939D,,,2019-03-15T00:00:00,80.0
7D685D54,,,2018-12-07T00:00:00,100.0
7DA56D84,,,2019-06-19T00:00:00,66.0
7DBFAD9E,,,2018-12-11T00:00:00,200.0
7DC4D42D,,,2019-08-21T00:00:00,30.0
7E343E3E,10/06/2019,,2018-12-07T00:00:00,80.0
7E4C33B7,24/01/2019,,2018-12-19T00:00:00,100.0
7E74EBAB,,,2019-08-21T00:00:00,100.0
7EA848E5,,,2019-08-12T00:00:00,100.0
7EAB9CCD,,,2019-07-15T00:00:00,10.0
7EF55C34,,,2019-07-26T00:00:00,40.0
7F99836D,03/05/2019,,2018-12-20T00:00:00,130.0
7FA2D926,,,2019-07-16T00:00:00,150.0
7FA3FC69,,,2019-05-17T00:00:00,120.0
7FAC5C9A,,,2019-08-21T00:00:00,30.0
822ED8E7,19/08/2019,,2018-12-11T00:00:00,100.0
8243C543,,,2019-07-19T00:00:00,70.0
8246B5CE,,,2019-08-02T00:00:00,110.0
835EA7FC,29/04/2019,,2019-01-14T00:00:00,200.0
837BBD76,,,2018-12-18T00:00:00,80.0
83EEA74F,,,2019-02-12T00:00:00,60.0
83FBA9C8,07/02/2019,,2019-01-21T00:00:00,50.0
83FBF2DA,,,2019-09-02T00:00:00,15.0
84233AC3,,,2019-06-21T00:00:00,120.0
8462DC93,,,2019-02-12T00:00:00,50.0
848C59D7,,,2019-01-21T00:00:00,100.0
84A3736A,,,2019-06-19T00:00:00,40.0
854FAD45,,,2019-04-18T00:00:00,500.0
8583DABA,,,2018-12-12T00:00:00,500.0
858DCC3F,,,2019-08-09T00:00:00,30.0
85C9C489,,,2019-07-18T00:00:00,100.0
8642443D,,,2019-08-13T00:00:00,34.0
86657CCC,,,2019-08-21T00:00:00,200.0
87A4BD8A,22/05/2019,,2018-12-18T00:00:00,60.0
87CC76D8,,,2019-03-28T00:00:00,60.0
88723D8C,06/08/2019,,2019-03-14T00:00:00,70.0
887CBAFB,,,2019-07-16T00:00:00,40.0
88A4A53F,,,2019-08-30T00:00:00,260.0
88C377A6,,,2019-08-13T00:00:00,60.0
88CD25B8,,,2019-05-21T00:00:00,100.0
88E7AD36,,,2019-08-21T00:00:00,100.0
88E8FF3C,,,2019-07-29T00:00:00,40.0
88ECF7CD,27/08/2019,,2019-02-21T00:00:00,90.0
892CC4B7,,,2019-05-07T00:00:00,50.0
8977CFD2,12/06/2019,,2019-01-09T00:00:00,30.0
898A5387,,,2018-12-07T00:00:00,40.0
8A5F2CA4,,,2018-12-20T00:00:00,100.0
8A62FC5A,,,2019-01-14T00:00:00,200.0
8B4EB7EA,21/06/2019,,2019-04-04T00:00:00,50.0
8BCADFAA,,,2019-07-16T00:00:00,80.0
8BCF38C9,,,2019-02-21T00:00:00,170.0
8C3E6A55,,,2019-08-21T00:00:00,70.0
8C5BA54A,,,2019-07-19T00:00:00,200.0
8C6A2BBB,,,2019-02-21T00:00:00,50.0
8C75728C,,,2019-08-21T00:00:00,150.0
8CAEC399,,,2019-07-17T00:00:00,177.0
8CC69ABC,,,2019-08-21T00:00:00,180.0
8CEC9CFA,,,2019-08-06T00:00:00,70.0
8D222C8D,,,2019-06-10T00:00:00,90.0
8D26CEC7,,,2019-01-28T00:00:00,50.0
8D278FD2,,,2019-08-19T00:00:00,500.0
8DC5B3C2,,,2019-08-21T00:00:00,100.0
8DE58CED,,,2019-03-19T00:00:00,100.0
8E7D7CF5,,,2019-08-21T00:00:00,30.0
8E9CEF5B,,,2019-01-14T00:00:00,130.0
8F2AAA68,,,2019-07-26T00:00:00,100.0
92BC43D9,,,2019-08-21T00:00:00,36.0
92CBD428,,,2019-03-18T00:00:00,150.0
93AAE7E8,,,2019-08-13T00:00:00,120.0
93AAEE5C,,,2019-08-29T00:00:00,80.0
93DA9AB5,,,2019-05-14T00:00:00,120.0
93F92B3C,,,2019-08-15T00:00:00,80.0
947DCF84,,,2019-09-02T00:00:00,80.0
94A72CBF,27/03/2019,,2019-01-31T00:00:00,100.0
94DDCCDA,13/03/2019,,2018-12-07T00:00:00,30.0
9528B43E,16/04/2019,,2019-02-28T00:00:00,400.0
95542FA7,21/06/2019,,2019-03-27T00:00:00,170.0
955E3B2C,,,2019-02-04T00:00:00,100.0
956DD7F9,,,2019-05-17T00:00:00,100.0
95748C38,,,2019-07-10T00:00:00,500.0
95CCAAC5,,,2019-08-30T00:00:00,10.0
95EDB722,,,2019-02-06T00:00:00,50.0
966BC88A,,,2019-01-09T00:00:00,60.0
966C4C8A,,,2019-06-27T00:00:00,50.0
96ACB33E,,,2019-04-18T00:00:00,120.0
96EB7367,,,2019-05-31T00:00:00,100.0
973D57CA,,,2019-08-20T00:00:00,150.0
9747CA5D,,,2019-09-02T00:00:00,30.0
9789D87A,,,2019-05-16T00:00:00,220.0
97974BA8,,,2019-08-16T00:00:00,80.0
97A56A2B,,,2019-01-30T00:00:00,90.0
97BFAB25,27/03/2019,,2019-01-09T00:00:00,70.0
97C562A9,,,2019-08-12T00:00:00,65.0
97C577B2,19/07/2019,,2019-02-21T00:00:00,80.0
9859772F,29/03/2019,,2019-03-21T00:00:00,80.0
988F7CB5,,,2019-08-16T00:00:00,90.0
98AC9F4C,,,2019-08-12T00:00:00,170.0
98C4ABAA,,,2018-12-13T00:00:00,100.0
98CB7AB6,,,2019-08-21T00:00:00,200.0
99798CAF,,,2019-02-21T00:00:00,45.0
99AA3848,,,2019-09-05T00:00:00,40.0
99EB8CD5,,,2019-08-02T00:00:00,60.0
99FC98C8,,,2019-06-21T00:00:00,30.0
9A76C463,12/03/2019,,2019-01-24T00:00:00,60.0
9AD28EC9,,,2018-12-18T00:00:00,700.0
9AD4B4E4,,,2019-09-05T00:00:00,50.0
9B3242C9,,,2019-08-21T00:00:00,30.0
9B888FCB,,,2019-08-29T00:00:00,60.0
9BD4CAAA,,,2019-06-11T00:00:00,130.0
9BEC8BA4,,,2019-08-20T00:00:00,150.0
9C224288,,,2019-07-01T00:00:00,36.0
9C5A2C4A,,,2019-05-14T00:00:00,200.0
9C87ABDC,11/07/2019,,2018-12-20T00:00:00,100.0
9C9A9CF3,,,2019-03-21T00:00:00,120.0
9C9E6634,,,2019-08-12T00:00:00,80.0
9CA2F3AC,,,2019-01-17T00:00:00,200.0
9CAF3AFC,,,2019-03-21T00:00:00,280.0
9CCDD94C,,,2019-08-21T00:00:00,730.0
9CD865A2,,,2019-02-04T00:00:00,100.0
9CEEF383,,,2019-04-18T00:00:00,300.0
9D28CA3C,,,2019-08-20T00:00:00,120.0
9E35F486,,,2019-06-04T00:00:00,50.0
9E7AA5CB,21/08/2019,,2019-03-21T00:00:00,100.0
9EDCC6F7,,,2019-07-04T00:00:00,50.0
9F3597A4,,,2019-08-21T00:00:00,40.0
9F3C5FE7,,,2019-07-19T00:00:00,60.0
9F47A7F3,,,2018-12-10T00:00:00,120.0
9F5CE5F5,,,2019-08-21T00:00:00,40.0
9F897D2A,,,2019-08-20T00:00:00,120.0
9FA3E53A,,,2019-08-19T00:00:00,60.0
9FBC3A4A,,,2019-08-21T00:00:00,100.0
9FDCE386,,,2019-08-15T00:00:00,175.0
9FE2F8CF,,,2019-06-21T00:00:00,110.0
