,accountantId,cohort,total,m,count_org
447,85C9C489,7,100.0,7,159
448,8642443D,8,34.0,8,37
449,86657CCC,8,200.0,8,72
450,887CBAFB,7,40.0,7,14
451,887CBAFB,7,40.0,8,20
452,88A4A53F,8,260.0,8,2
453,88A4A53F,8,260.0,9,127
454,88C377A6,8,60.0,8,79
455,88C377A6,8,60.0,9,1
456,88CD25B8,5,100.0,5,85
457,88CD25B8,5,100.0,6,1
458,88CD25B8,5,100.0,8,9
459,88E7AD36,8,100.0,8,93
460,88E8FF3C,7,40.0,8,49
461,8BCADFAA,7,80.0,7,1
462,8BCADFAA,7,80.0,8,70
463,8BCADFAA,7,80.0,9,2
464,8C5BA54A,7,200.0,7,152
465,8C5BA54A,7,200.0,8,10
466,8C5BA54A,7,200.0,9,10
467,8C75728C,8,150.0,8,232
468,8CAEC399,7,177.0,8,187
469,8CAEC399,7,177.0,9,3
470,8CC69ABC,8,180.0,8,150
471,8CC69ABC,8,180.0,9,9
472,8CEC9CFA,8,70.0,8,44
473,8D222C8D,6,90.0,6,84
474,8D222C8D,6,90.0,7,8
475,8D222C8D,6,90.0,8,2
476,8D278FD2,8,500.0,8,240
477,8D278FD2,8,500.0,9,101
478,8DC5B3C2,8,100.0,8,141
479,8E7D7CF5,8,30.0,8,43
480,8E7D7CF5,8,30.0,9,24
481,8F2AAA68,7,100.0,7,1
482,8F2AAA68,7,100.0,8,67
483,92BC43D9,8,36.0,8,1
484,92BC43D9,8,36.0,9,37
485,92CBD428,3,150.0,5,1
486,92CBD428,3,150.0,6,60
487,92CBD428,3,150.0,7,77
488,92CBD428,3,150.0,8,3
489,92CBD428,3,150.0,9,1
490,93AAE7E8,8,120.0,8,132
491,93AAE7E8,8,120.0,9,6
492,93AAEE5C,8,80.0,8,1
493,93AAEE5C,8,80.0,9,87
494,93DA9AB5,5,120.0,5,110
495,93F92B3C,8,80.0,8,82
496,947DCF84,9,80.0,9,151
497,95542FA7,3,170.0,4,144
498,95542FA7,3,170.0,5,5
499,956DD7F9,5,100.0,6,98
500,956DD7F9,5,100.0,7,1
501,95CCAAC5,8,10.0,9,9
502,966C4C8A,6,50.0,7,39
503,96ACB33E,4,120.0,6,116
504,96ACB33E,4,120.0,7,2
505,96ACB33E,4,120.0,8,1
506,96ACB33E,4,120.0,9,1
507,96EB7367,5,100.0,6,57
508,96EB7367,5,100.0,7,32
509,96EB7367,5,100.0,9,2
510,973D57CA,8,150.0,8,130
511,9747CA5D,9,30.0,8,1
512,9747CA5D,9,30.0,9,1
513,97974BA8,8,80.0,8,82
514,988F7CB5,8,90.0,8,87
515,99AA3848,9,40.0,9,34
516,99EB8CD5,8,60.0,8,52
517,99EB8CD5,8,60.0,9,1
518,9AD4B4E4,9,50.0,9,47
519,9B3242C9,8,30.0,8,42
520,9B888FCB,8,60.0,8,1
521,9B888FCB,8,60.0,9,76
522,9BD4CAAA,6,130.0,6,72
523,9BD4CAAA,6,130.0,7,1
524,9BEC8BA4,8,150.0,9,40
525,9C224288,7,36.0,7,16
526,9C9E6634,8,80.0,8,46
527,9C9E6634,8,80.0,9,65
528,9CD865A2,2,100.0,7,24
529,9CEEF383,4,300.0,5,232
530,9CEEF383,4,300.0,6,3
531,9CEEF383,4,300.0,7,2
532,9CEEF383,4,300.0,8,3
533,9CEEF383,4,300.0,9,2
534,9E35F486,6,50.0,6,10
535,9E35F486,6,50.0,7,2
536,9E35F486,6,50.0,8,1
537,9F3597A4,8,40.0,8,36
538,9F3C5FE7,7,60.0,8,1
539,9F5CE5F5,8,40.0,8,36
540,9F5CE5F5,8,40.0,9,8
541,9F897D2A,8,120.0,8,74
542,9FA3E53A,8,60.0,8,63
543,9FA3E53A,8,60.0,9,3
544,9FDCE386,8,175.0,8,238
545,9FDCE386,8,175.0,9,16
546,9FE2F8CF,6,110.0,6,45
547,9FE2F8CF,6,110.0,7,50
548,9FE2F8CF,6,110.0,8,7
549,9FE2F8CF,6,110.0,9,1
550,A244FAAA,8,150.0,8,93
551,A244FAAA,8,150.0,9,4
552,A26BC35F,7,1200.0,8,900
553,A26BC35F,7,1200.0,9,21
554,A2A5A353,5,130.0,5,118
555,A2A5A353,5,130.0,7,19
556,A2A5A353,5,130.0,8,4
557,A2A5A353,5,130.0,9,5
558,A2A7CDC2,8,90.0,9,140
559,A2DDF47E,3,250.0,4,54
560,A2DDF47E,3,250.0,6,2
561,A2DDF47E,3,250.0,7,17
562,A2DDF47E,3,250.0,8,4
563,A43BCDCF,6,100.0,6,86
564,A43BCDCF,6,100.0,7,5
565,A43BCDCF,6,100.0,8,7
566,A49F6E85,7,60.0,8,11
567,A4B3BF84,5,15.0,5,14
568,A5B74AB4,7,100.0,7,96
569,A5B74AB4,7,100.0,8,60
570,A5B74AB4,7,100.0,9,2
571,A5D83C32,8,80.0,8,131
572,A5F6F459,8,30.0,8,12
573,A5FA6B95,7,60.0,7,46
574,A6299DCD,6,100.0,6,95
575,A6299DCD,6,100.0,7,14
576,A6299DCD,6,100.0,8,12
577,A647C2AA,8,80.0,8,69
578,A647C2AA,8,80.0,9,1
579,A67AC84E,8,100.0,5,139
580,A67AC84E,8,100.0,8,19
581,A67AC84E,8,100.0,9,2
582,A6BCAF2E,8,400.0,8,309
583,A6BCAF2E,8,400.0,9,76
584,A6DAB9C6,8,70.0,8,140
585,A6DAB9C6,8,70.0,9,1
586,A6F93CC5,7,280.0,7,259
587,A6F93CC5,7,280.0,8,7
588,A742A8B3,3,230.0,7,212
589,A755AE27,7,60.0,8,57
590,A75D3AE3,8,30.0,8,1
591,A79752AA,8,50.0,8,1
592,A79752AA,8,50.0,9,51
593,A7B2CE7B,8,20.0,8,20
594,A7B2CE7B,8,20.0,9,1
595,A85C5F6F,5,40.0,5,30
